ParkCode,ActivityID,ActivityName
abli,13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy
abli,D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing
abli,1DFACD97-1B9C-4F5A-80F2-05593604799E,Food
abli,C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking
abli,DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program
abli,0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching
abli,5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching
abli,24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping
abli,467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store
abli,43800AD1-D439-40F3-AAB3-9FB651FE45BB,Gift Shop and Souvenirs
acad,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
acad,FAED7F97-3474-4C21-AB42-FB0768A2F826,Cultural Demonstrations
acad,13A57703-BB1A-41A2-94B8-53B692EB7238,Astronomy
acad,D37A0003-8317-4F04-8FB0-4CF0A272E195,Stargazing
acad,7CE6E935-F839-4FEC-A63E-052B1DEF39D2,Biking
acad,071BA73C-1D3C-46D4-A53C-00D5602F7F0E,Boating
acad,A59947B7-3376-49B4-AD02-C0423E08C5F7,Camping
acad,7CFF5F03-5ECC-4F5A-8572-75D1F0976C0C,Group Camping
acad,B12FAAB9-713F-4B38-83E4-A273F5A43C77,Climbing
acad,87D3B1CD-3903-4561-ABB1-2DD870C43F2F,Rock Climbing
acad,C11D3746-5063-4BD0-B245-7178D1AD866C,Compass and GPS
acad,CA3641A0-FADC-497F-B036-3FE426D0DDCC,Geocaching
acad,AE42B46C-E4B7-4889-A122-08FE180371AE,Fishing
acad,25FB188F-5AAD-459A-9092-28A9801709FF,Freshwater Fishing
acad,9BC03FAF-28F1-4609-BF6F-643F58071AED,Fly Fishing
acad,17411C8D-5769-4D0F-ABD1-52ED03840C18,Saltwater Fishing
acad,1DFACD97-1B9C-4F5A-80F2-05593604799E,Food
acad,C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4,Picnicking
acad,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
acad,3DE599E2-22ED-40BF-B383-EDA073563C1E,Bus/Shuttle Guided Tour
acad,5A241412-0CFB-497A-9B5F-0AB8C03CDE72,Boat Tour
acad,42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On
acad,31F88DA6-696F-441F-89CF-D7B1415C4CB9,Citizen Science
acad,BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking
acad,45261C0A-00D8-4C27-A1F8-029F933A0D34,Front-Country Hiking
acad,0307955A-B65C-4CE4-A780-EB36BAAADF0B,Horse Trekking
acad,1886DA47-0AEC-4568-B9C2-8E9BC316AAAC,Horseback Riding
acad,5FF5B286-E9C3-430E-B612-3380D8138600,Ice Skating
acad,4D224BCA-C127-408B-AC75-A51563C42411,Paddling
acad,21DB3AFC-8AAC-4665-BC1F-7198C0685983,Canoeing
acad,F353A9ED-4A08-456E-8DEC-E61974D0FEB6,Kayaking
acad,B3EF12AF-D951-419E-BD3C-6B36CBCC1E16,Stand Up Paddleboarding
acad,DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program
acad,F9B1D433-6B86-4804-AED7-B50A519A3B7C,Skiing
acad,EAB1EBDE-5B72-493F-8F8F-0EE5B1724436,Cross-Country Skiing
acad,C38B3C62-1BBF-4EA1-A1A2-35DE21B74C17,Snow Play
acad,7C912B83-1B1B-4807-9B66-97C12211E48E,Snowmobiling
acad,01D717BC-18BB-4FE4-95BA-6B13AD702038,Snowshoeing
acad,587BB2D3-EC35-41B2-B3F7-A39E2B088AEE,Swimming
acad,82C3230F-6F87-452C-A01B-F8458867B26A,Freshwater Swimming
acad,C2801992-F34D-4974-A0F2-80FF04309EE4,Saltwater Swimming
acad,0B685688-3405-4E2A-ABBA-E3069492EC50,Wildlife Watching
acad,5A2C91D1-50EC-4B24-8BED-A2E11A1892DF,Birdwatching
acad,0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film
acad,24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping
acad,467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store
adam,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
adam,B204DE60-5A24-43DD-8902-C81625A09A74,Living History
adam,28880A5B-3D29-41AC-BD8B-24743E7A070F,First Person Interpretation
adam,0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film
adam,24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping
adam,467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store
afam,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
afam,A0631906-9672-4583-91DE-113B93DB6B6E,Self-Guided Tours - Walking
afbg,09DF0950-D319-4557-A57E-04CD2F63FF42,Arts and Culture
afbg,B33DC9B6-0B7D-4322-BAD7-A13A34C584A3,Guided Tours
afbg,DF4A35E0-7983-4A3E-BC47-F37B872B0F25,Junior Ranger Program
afbg,0C0D142F-06B5-4BE1-8B44-491B90F93DEB,Park Film
afbg,C8F98B28-3C10-41AE-AA99-092B3B398C43,Museum Exhibits
afbg,24380E3F-AD9D-4E38-BF13-C8EEB21893E7,Shopping
afbg,467DC8B8-0B7D-436D-A026-80A22358F615,Bookstore and Park Store
