ParkCode,ParkName,Location,EntranceFee
abli,Abraham Lincoln Birthplace National Historical Park,"lat:37.5858662, long:-85.67330523",0.00
acad,Acadia National Park,"lat:44.409286, long:-68.247501",30.00
adam,Adams National Historical Park,"lat:42.2553961, long:-71.01160356",15.00
afam,African American Civil War Memorial,"lat:38.9166, long:-77.026",0.00
afbg,African Burial Ground National Monument,"lat:40.71452681, long:-74.00447358",0.00
agfo,Agate Fossil Beds National Monument,"lat:42.42170419, long:-103.753886",0.00
alka,Ala Kahakai National Historic Trail,"lat:19.1446681090248, long:-155.890734293795",0.00
alag,Alagnak Wild River,"lat:59.05180188, long:-156.112002",0.00
anch,Alaska Public Lands,"lat:61.2188, long:-149.894536",0.00
alca,Alcatraz Island,"lat:37.82676234, long:-122.4230206",39.90
aleu,Aleutian Islands World War II National Historic Area,"lat:53.9143, long:-166.5197",6.00
alfl,Alibates Flint Quarries National Monument,"lat:35.5819662, long:-101.6717008",0.00
alpo,Allegheny Portage Railroad National Historic Site,"lat:40.42977467, long:-78.57431622",0.00
amme,American Memorial Park,"lat:15.21680033, long:145.7231096",0.00
amis,Amistad National Recreation Area,"lat:29.53539777, long:-101.075821",0.00
anac,Anacostia Park,"lat:38.8782, long:-76.9703",0.00
ande,Andersonville National Historic Site,"lat:32.19831758, long:-84.12988898",0.00
anjo,Andrew Johnson National Historic Site,"lat:36.15624509, long:-82.83709021",0.00
ania,Aniakchak National Monument & Preserve,"lat:56.85317675, long:-157.5544362",0.00
anti,Antietam National Battlefield,"lat:39.46763452, long:-77.73828017",10.00
apis,Apostle Islands National Lakeshore,"lat:46.96240467, long:-90.66045665",0.00
appa,Appalachian National Scenic Trail,"lat:40.41029575, long:-76.4337548",0.00
apco,Appomattox Court House National Historical Park,"lat:37.38022164, long:-78.79856982",0.00
arch,Arches National Park,"lat:38.72261844, long:-109.5863666",30.00
arpo,Arkansas Post National Memorial,"lat:34.00389998, long:-91.30837178",0.00
arho,"Arlington House, The Robert E. Lee Memorial","lat:38.8822021484375, long:-77.0734786987305",0.00
asis,Assateague Island National Seashore,"lat:38.05593172, long:-75.24524611",25.00
azru,Aztec Ruins National Monument,"lat:36.83682216, long:-107.9999245",0.00
badl,Badlands National Park,"lat:43.68584846, long:-102.482942",30.00
bawa,Baltimore-Washington Parkway,"lat:39.02604289, long:-76.85410921",0.00
band,Bandelier National Monument,"lat:35.77898596, long:-106.3317124",25.00
bepa,Belmont-Paul Women's Equality National Monument,"lat:38.89231541, long:-77.00381882",0.00
beol,Bent's Old Fort National Historic Site,"lat:38.03977546, long:-103.4266499",3.00
bela,Bering Land Bridge National Preserve,"lat:65.96087902, long:-164.4086432",0.00
bibe,Big Bend National Park,"lat:29.29817767, long:-103.2297897",30.00
bicy,Big Cypress National Preserve,"lat:25.97079602, long:-81.08120629",0.00
biho,Big Hole National Battlefield,"lat:45.64647324, long:-113.6458443",0.00
biso,Big South Fork National River & Recreation Area,"lat:36.5348388, long:-84.66506688",0.00
bith,Big Thicket National Preserve,"lat:30.4579834310497, long:-94.3867421150208",0.00
bica,Bighorn Canyon National Recreation Area,"lat:45.13154227, long:-108.1443943",0.00
bicr,Birmingham Civil Rights National Monument,"lat:33.5154266357422, long:-86.8146667480469",0.00
bisc,Biscayne National Park,"lat:25.490587, long:-80.21023851",0.00
blca,Black Canyon Of The Gunnison National Park,"lat:38.57779869, long:-107.7242756",30.00
blrv,Blackstone River Valley National Historical Park,"lat:41.8775792791768, long:-71.3824339450125",0.00
blri,Blue Ridge Parkway,"lat:35.5657195273801, long:-82.4864845870113",0.00
blue,Bluestone National Scenic River,"lat:37.56577087, long:-80.98366657",0.00
bowa,Booker T Washington National Monument,"lat:37.11520539, long:-79.73185833",0.00
boaf,Boston African American National Historic Site,"lat:42.35908295, long:-71.06764181",0.00
boha,Boston Harbor Islands National Recreation Area,"lat:42.30905526, long:-70.93941138",0.00
bost,Boston National Historical Park,"lat:42.36957407, long:-71.05536763",0.00
brcr,Brices Cross Roads National Battlefield Site,"lat:34.50611958, long:-88.72889343",0.00
brvb,Brown v. Board of Education National Historic Site,"lat:39.03787665, long:-95.67614437",0.00
brca,Bryce Canyon National Park,"lat:37.58399144, long:-112.1826689",35.00
buis,Buck Island Reef National Monument,"lat:17.81026717, long:-64.6222179",0.00
buff,Buffalo National River,"lat:36.04116481, long:-92.90761584",0.00
cabr,Cabrillo National Monument,"lat:32.6722503, long:-117.2415985",20.00
cali,California National Historic Trail,"lat:42.3999643979285, long:-108.702415369046",0.00
cane,Camp Nelson National Monument,"lat:37.7970179912726, long:-84.5981683059999",0.00
cana,Canaveral National Seashore,"lat:28.78637529, long:-80.75419576",20.00
cari,Cane River Creole National Historical Park,"lat:31.65408447, long:-93.00131977",0.00
cach,Canyon de Chelly National Monument,"lat:36.14319567, long:-109.3388303",0.00
cany,Canyonlands National Park,"lat:38.24555783, long:-109.8801624",30.00
caco,Cape Cod National Seashore,"lat:41.92381465, long:-70.04319832",25.00
caha,Cape Hatteras National Seashore,"lat:35.41370839, long:-75.65061112",0.00
came,Cape Henry Memorial Part of Colonial National Historical Park,"lat:36.9278094, long:-76.0088219",0.00
cakr,Cape Krusenstern National Monument,"lat:67.41499986, long:-163.5037786",0.00
calo,Cape Lookout National Seashore,"lat:34.8267961, long:-76.34319082",0.00
cahi,Capitol Hill Parks,"lat:38.889993, long:-76.990332",0.00
care,Capitol Reef National Park,"lat:38.2821653130533, long:-111.247048377991",20.00
cajo,Captain John Smith Chesapeake National Historic Trail,"lat:38.971601, long:-76.483355",0.00
cavo,Capulin Volcano National Monument,"lat:36.78171096, long:-103.9710427",20.00
carl,Carl Sandburg Home National Historic Site,"lat:35.26815509, long:-82.45106258",0.00
cave,Carlsbad Caverns National Park,"lat:32.14089463, long:-104.5529688",15.00
cawo,Carter G. Woodson Home National Historic Site,"lat:38.91089286, long:-77.02431104",0.00
cagr,Casa Grande Ruins National Monument,"lat:32.99702582, long:-111.5325383",0.00
casa,Castillo de San Marcos National Monument,"lat:29.89785701, long:-81.31217173",15.00
cacl,Castle Clinton National Monument,"lat:40.70347795, long:-74.01680558",0.00
camo,Castle Mountains National Monument,"lat:35.29156348, long:-115.0935606",0.00
cato,Catoctin Mountain Park,"lat:39.65068457, long:-77.46417665",0.00
cebr,Cedar Breaks National Monument,"lat:37.63545562, long:-112.845268",10.00
cebe,Cedar Creek & Belle Grove National Historical Park,"lat:39.0093576, long:-78.30618934",0.00
chcu,Chaco Culture National Historical Park,"lat:36.03963414, long:-107.9560076",25.00
cham,Chamizal National Memorial,"lat:31.76729634, long:-106.4544011",0.00
chis,Channel Islands National Park,"lat:33.98680093, long:-119.9112735",0.00
chpi,Charles Pinckney National Historic Site,"lat:32.84577392, long:-79.82487582",0.00
chyo,Charles Young Buffalo Soldiers National Monument,"lat:39.70817829, long:-83.89328575",0.00
chat,Chattahoochee River National Recreation Area,"lat:33.99698333, long:-84.28953177",0
choh,Chesapeake & Ohio Canal National Historical Park,"lat:39.0002836919553, long:-77.2481399539388",20.00
cbpo,Chesapeake Bay,"lat:38.971601, long:-76.483355",0.00
chch,Chickamauga & Chattanooga National Military Park,"lat:34.94317623, long:-85.28749537",10.00
chic,Chickasaw National Recreation Area,"lat:34.46050507, long:-97.00715669",0.00
chir,Chiricahua National Monument,"lat:32.01214618, long:-109.341607",0.00
chri,Christiansted National Historic Site,"lat:17.73771903, long:-64.72906227",7.00
ciro,City Of Rocks National Reserve,"lat:42.0699024, long:-113.7124097",0.00
