ParkCode,Date,Temperature,Weather_Despcription
abli,1634058000,295.37,light rain
abli,1634144400,295.48,light rain
abli,1634230800,299.59,overcast clouds
abli,1634317200,296.82,moderate rain
abli,1634403600,289.5,light rain
abli,1634490000,291,clear sky
abli,1634576400,292.68,clear sky
abli,1634662800,294.78,clear sky
acad,1634140800,288.3,light rain
acad,1634227200,288.28,clear sky
acad,1634313600,286.5,broken clouds
acad,1634400000,287.5,light rain
acad,1634486400,286.73,moderate rain
acad,1634572800,286.1,light rain
acad,1634659200,285.7,light rain
acad,1634745600,287.93,clear sky
adam,1634140800,295.66,clear sky
adam,1634227200,296.24,few clouds
adam,1634313600,293.86,overcast clouds
adam,1634400000,291.56,moderate rain
adam,1634486400,288.49,clear sky
adam,1634572800,287.96,clear sky
adam,1634659200,289.96,clear sky
adam,1634745600,294.09,scattered clouds
afam,1634140800,299.5,few clouds
afam,1634227200,298.97,overcast clouds
afam,1634313600,300.19,scattered clouds
afam,1634400000,298.9,light rain
afam,1634486400,289.22,clear sky
afam,1634572800,290.69,clear sky
afam,1634659200,291.79,clear sky
afam,1634745600,294.03,clear sky
afbg,1634140800,293.81,broken clouds
afbg,1634227200,295.19,overcast clouds
afbg,1634313600,293.4,overcast clouds
afbg,1634400000,293.41,light rain
afbg,1634486400,287.84,clear sky
afbg,1634572800,288.81,clear sky
afbg,1634659200,290.31,clear sky
afbg,1634745600,292.04,clear sky
agfo,1634061600,285.04,heavy intensity rain
agfo,1634148000,277.05,rain and snow
agfo,1634234400,281.76,few clouds
agfo,1634320800,281.75,few clouds
agfo,1634407200,288.76,clear sky
agfo,1634493600,290.87,clear sky
agfo,1634580000,288.74,overcast clouds
agfo,1634666400,284.64,clear sky
alka,1634076000,298.63,moderate rain
alka,1634162400,298.4,light rain
alka,1634248800,298.1,light rain
alka,1634335200,298.07,light rain
alka,1634421600,297.82,light rain
alka,1634508000,297.78,light rain
alka,1634594400,297.86,light rain
alka,1634680800,297.64,overcast clouds
alag,1634076000,278.67,light rain
alag,1634162400,274.84,rain and snow
alag,1634248800,276.34,rain and snow
alag,1634335200,273.81,few clouds
alag,1634421600,273.96,few clouds
alag,1634508000,276.62,light snow
alag,1634594400,273.7,clear sky
alag,1634680800,271.68,overcast clouds
anch,1634072400,273.62,overcast clouds
anch,1634158800,272.66,light snow
anch,1634245200,272.55,heavy snow
anch,1634331600,271.37,snow
anch,1634418000,271.81,light snow
anch,1634504400,271.88,overcast clouds
anch,1634590800,273.65,few clouds
anch,1634677200,272.63,snow
alca,1634065200,290.74,clear sky
alca,1634151600,287.95,broken clouds
alca,1634238000,293.59,clear sky
alca,1634324400,295.48,clear sky
alca,1634410800,297.49,clear sky
alca,1634497200,292.6,overcast clouds
alca,1634583600,289.67,broken clouds
alca,1634670000,289.87,overcast clouds
aleu,1634076000,281.63,light rain
aleu,1634162400,279.6,overcast clouds
aleu,1634248800,280,moderate rain
aleu,1634335200,279.57,broken clouds
aleu,1634421600,282.12,moderate rain
aleu,1634508000,279.98,light rain
aleu,1634594400,278.36,light rain
aleu,1634680800,280.24,light rain
alfl,1634061600,296.83,overcast clouds
alfl,1634148000,295.43,few clouds
alfl,1634234400,298.14,clear sky
alfl,1634320800,290.93,clear sky
alfl,1634407200,293.95,clear sky
alfl,1634493600,295.75,clear sky
alfl,1634580000,298.93,scattered clouds
alfl,1634666400,292.02,light rain
alpo,1634140800,295.79,clear sky
alpo,1634227200,295.07,overcast clouds
alpo,1634313600,292.09,light rain
alpo,1634400000,289.59,light rain
alpo,1634486400,285.82,clear sky
alpo,1634572800,286.09,clear sky
alpo,1634659200,288.19,clear sky
alpo,1634745600,290.62,few clouds
amme,1634090400,302.62,light rain
amme,1634176800,302.15,moderate rain
amme,1634263200,302.23,moderate rain
amme,1634349600,301.95,moderate rain
amme,1634436000,302.23,light rain
amme,1634522400,302,light rain
amme,1634608800,301.74,light rain
amme,1634695200,301.36,moderate rain
amis,1634061600,304.77,moderate rain
amis,1634148000,300.48,heavy intensity rain
amis,1634234400,302.69,clear sky
amis,1634320800,300.97,few clouds
amis,1634407200,295.39,clear sky
amis,1634493600,296.09,few clouds
amis,1634580000,296.97,clear sky
amis,1634666400,296.27,moderate rain
anac,1634140800,294.29,light rain
anac,1634227200,294.47,overcast clouds
anac,1634313600,294.69,scattered clouds
anac,1634400000,294.7,light rain
anac,1634486400,288.22,clear sky
anac,1634572800,289.19,clear sky
anac,1634659200,289.79,clear sky
anac,1634745600,291.43,clear sky
ande,1634144400,299.74,clear sky
ande,1634230800,300.85,overcast clouds
ande,1634317200,302.28,scattered clouds
ande,1634403600,298.36,light rain
ande,1634490000,295.56,clear sky
ande,1634576400,296.24,overcast clouds
ande,1634662800,299.34,clear sky
ande,1634749200,300.76,broken clouds
anjo,1634144400,294.56,broken clouds
anjo,1634230800,296.27,broken clouds
anjo,1634317200,295.4,broken clouds
anjo,1634403600,286.28,light rain
anjo,1634490000,287.18,clear sky
anjo,1634576400,289.76,clear sky
anjo,1634662800,289.76,scattered clouds
anjo,1634749200,291.48,overcast clouds
ania,1634076000,281.63,light rain
ania,1634162400,279.6,light rain
ania,1634248800,280.1,moderate rain
ania,1634335200,278.77,moderate rain
ania,1634421600,277.72,light rain
ania,1634508000,278.68,moderate rain
ania,1634594400,278.96,light rain
ania,1634680800,277.44,overcast clouds
anti,1634140800,295.41,broken clouds
anti,1634227200,298.18,broken clouds
anti,1634313600,299.2,overcast clouds
anti,1634400000,297.81,light rain
anti,1634486400,288.14,clear sky
anti,1634572800,289.31,clear sky
anti,1634659200,291.41,clear sky
anti,1634745600,292.54,few clouds
apis,1634058000,287.47,moderate rain
apis,1634144400,289.48,light rain
apis,1634230800,286.19,few clouds
apis,1634317200,280.12,light rain
apis,1634403600,283.7,light rain
apis,1634490000,285.3,clear sky
apis,1634576400,287.18,scattered clouds
apis,1634662800,281.98,light rain
appa,1634140800,295.16,light rain
appa,1634227200,294.64,scattered clouds
appa,1634313600,295.15,overcast clouds
appa,1634400000,294.66,moderate rain
appa,1634486400,285.69,clear sky
appa,1634572800,286.46,clear sky
appa,1634659200,288.36,clear sky
appa,1634745600,290.39,clear sky
apco,1634140800,299.07,few clouds
apco,1634227200,298.65,overcast clouds
apco,1634313600,300.26,broken clouds
apco,1634400000,298.87,light rain
apco,1634486400,289.4,clear sky
apco,1634572800,291.37,clear sky
apco,1634659200,292.07,broken clouds
apco,1634745600,294,few clouds
arch,1634065200,273.16,rain and snow
arch,1634151600,276.87,broken clouds
arch,1634238000,277.81,light snow
arch,1634324400,277.29,clear sky
arch,1634410800,282.01,clear sky
arch,1634497200,286.81,clear sky
arch,1634583600,286.29,broken clouds
arch,1634670000,286.19,clear sky
arpo,1634058000,300.6,moderate rain
arpo,1634144400,300.71,moderate rain
arpo,1634230800,298.82,light rain
arpo,1634317200,301.45,light rain
arpo,1634403600,294.03,clear sky
arpo,1634490000,296.64,clear sky
arpo,1634576400,297.71,clear sky
arpo,1634662800,298.01,scattered clouds
arho,1634140800,299.5,few clouds
arho,1634227200,298.97,overcast clouds
arho,1634313600,300.19,scattered clouds
arho,1634400000,298.9,light rain
arho,1634486400,289.22,clear sky
arho,1634572800,290.69,clear sky
arho,1634659200,291.79,clear sky
arho,1634745600,294.03,clear sky
asis,1634140800,293.9,overcast clouds
asis,1634227200,294.18,broken clouds
asis,1634313600,293.2,scattered clouds
asis,1634400000,294.1,light rain
asis,1634486400,288.03,clear sky
asis,1634572800,289,clear sky
asis,1634659200,291.1,clear sky
asis,1634745600,292.03,clear sky
azru,1634061600,277.88,rain and snow
azru,1634148000,279.28,few clouds
azru,1634234400,282.59,clear sky
azru,1634320800,280.58,clear sky
azru,1634407200,286.6,clear sky
azru,1634493600,289.7,clear sky
azru,1634580000,288.58,clear sky
azru,1634666400,289.27,light rain
badl,1634061600,282.08,heavy intensity rain
badl,1634148000,274.99,rain and snow
badl,1634234400,282,broken clouds
badl,1634320800,281.88,clear sky
badl,1634407200,287.9,clear sky
badl,1634493600,291.3,clear sky
badl,1634580000,286.98,overcast clouds
badl,1634666400,284.78,scattered clouds
bawa,1634140800,298.08,scattered clouds
bawa,1634227200,297.86,overcast clouds
bawa,1634313600,298.37,overcast clouds
bawa,1634400000,298.38,light rain
bawa,1634486400,288.91,clear sky
bawa,1634572800,289.88,clear sky
bawa,1634659200,292.58,clear sky
bawa,1634745600,293.01,few clouds
band,1634061600,286.1,light rain
band,1634148000,284.51,clear sky
band,1634234400,286.52,clear sky
band,1634320800,284.81,clear sky
band,1634407200,290.12,clear sky
band,1634493600,291.92,clear sky
band,1634580000,292.8,scattered clouds
band,1634666400,289.5,clear sky
bepa,1634140800,299.5,few clouds
bepa,1634227200,298.97,overcast clouds
bepa,1634313600,300.19,scattered clouds
bepa,1634400000,298.9,light rain
bepa,1634486400,289.22,clear sky
bepa,1634572800,290.69,clear sky
bepa,1634659200,291.79,clear sky
bepa,1634745600,294.03,clear sky
beol,1634061600,297.56,light rain
beol,1634148000,290.67,clear sky
beol,1634234400,286.28,clear sky
beol,1634320800,286.27,light rain
beol,1634407200,290.18,clear sky
beol,1634493600,292.88,clear sky
beol,1634580000,296.36,clear sky
beol,1634666400,288.16,clear sky
bela,1634076000,274.03,light snow
bela,1634162400,273.4,light snow
bela,1634248800,271.6,overcast clouds
bela,1634335200,269.27,light snow
bela,1634421600,268.72,clear sky
bela,1634508000,267.38,overcast clouds
bela,1634594400,266.75,light snow
bela,1634680800,266.23,overcast clouds
bibe,1634061600,305.62,light rain
bibe,1634148000,300.52,light rain
bibe,1634234400,302.13,clear sky
bibe,1634320800,302.62,clear sky
bibe,1634407200,297.24,clear sky
bibe,1634493600,297.54,clear sky
bibe,1634580000,300.52,light rain
bibe,1634666400,297.01,moderate rain
bicy,1634144400,300.8,light rain
bicy,1634230800,300.91,moderate rain
bicy,1634317200,300.74,light rain
bicy,1634403600,299.82,light rain
bicy,1634490000,300.32,broken clouds
bicy,1634576400,300.5,scattered clouds
bicy,1634662800,300.7,moderate rain
bicy,1634749200,300.92,light rain
biho,1634065200,271.32,snow
biho,1634151600,273.54,rain and snow
biho,1634238000,274.67,light snow
biho,1634324400,276.46,broken clouds
biho,1634410800,279.97,few clouds
biho,1634497200,284.18,broken clouds
biho,1634583600,279.85,broken clouds
biho,1634670000,281.85,clear sky
biso,1634144400,298.04,overcast clouds
biso,1634230800,299.65,broken clouds
biso,1634317200,295.58,overcast clouds
biso,1634403600,291.56,light rain
biso,1634490000,292.17,clear sky
biso,1634576400,293.95,clear sky
biso,1634662800,294.54,clear sky
biso,1634749200,292.77,overcast clouds
bith,1634061600,303.93,light rain
bith,1634148000,302.24,overcast clouds
bith,1634234400,303.35,light rain
bith,1634320800,303.24,light rain
bith,1634407200,295.75,few clouds
bith,1634493600,294.36,overcast clouds
bith,1634580000,296.24,clear sky
bith,1634666400,297.63,broken clouds
bica,1634061600,271.82,snow
bica,1634148000,272.62,overcast clouds
bica,1634234400,273.93,light snow
bica,1634320800,275.42,few clouds
bica,1634407200,281.14,few clouds
bica,1634493600,285.14,scattered clouds
bica,1634580000,280.52,few clouds
bica,1634666400,281.21,clear sky
